Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/users/[user_id]/analytics,128,128,2,2.232085609875867,0.897999998414889,15.124208002816886,19.1953125,2.239115415991712,2.239115415991712,2,2,2,3,4,5,6,7,15,15,15
GET,/api/users/[user_id]/dashboard,550,550,2,1.9126409127122976,0.46275000204332173,13.26441700803116,35.127272727272725,9.621199053089388,9.621199053089388,2,2,2,2,3,4,5,7,13,13,13
GET,/api/users/[user_id]/history,365,365,2,2.1950889199378913,1.0299170098733157,13.058875018032268,19.38082191780822,6.384977553413866,6.384977553413866,2,2,2,3,3,5,6,9,13,13,13
GET,/api/users/[user_id]/profile,217,217,2,2.1474907770999687,1.089082972612232,10.081999993417412,19.036866359447004,3.7960003536734495,3.7960003536734495,2,2,2,3,4,5,5,7,10,10,10
GET,/health,94,94,1,1.8596499049887458,0.45125000178813934,12.496582989115268,35.808510638297875,1.6443503836189135,1.6443503836189135,1,2,2,2,3,5,6,12,12,12,12
,Aggregated,1354,1354,2,2.0529390735102218,0.45125000178813934,15.124208002816886,26.844903988183162,23.685642759787328,23.685642759787328,2,2,2,3,3,4,6,7,13,15,15
